dticker,name,trend,index
RELIANCE.NS,Reliance Industries Limited,down,nifty50
TCS.NS,Tata Consultancy Services Limited,down,nifty50
INFY.NS,Infosys Limited,down,nifty50
HDFCBANK.NS,HDFC Bank Limited,down,nifty50
ICICIBANK.NS,ICICI Bank Limited,neutral,nifty50
KOTAKBANK.NS,Kotak Mahindra Bank Limited,neutral,nifty50
LT.NS,Larsen & Toubro Limited,neutral,nifty50
ITC.NS,ITC Limited,down,nifty50
HINDUNILVR.NS,Hindustan Unilever Limited,down,nifty50
SBIN.NS,State Bank of India,neutral,nifty50
AXISBANK.NS,Axis Bank Limited,neutral,nifty50
BHARTIARTL.NS,Bharti Airtel Limited,down,nifty50
MARUTI.NS,Maruti Suzuki India Limited,neutral,nifty50
HCLTECH.NS,HCL Technologies Limited,down,nifty50
BAJAJ-AUTO.NS,Bajaj Auto Limited,neutral,nifty50
BAJFINANCE.NS,Bajaj Finance Limited,down,nifty50
NTPC.NS,NTPC Limited,down,nifty50
POWERGRID.NS,Power Grid Corporation of India Limited,down,nifty50
UPL.NS,UPL Limited,down,nifty50
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,neutral,nifty50
ONGC.NS,Oil and Natural Gas Corporation Limited,down,nifty50
TITAN.NS,Titan Company Limited,down,nifty50
BRITANNIA.NS,Britannia Industries Limited,down,nifty50
NESTLEIND.NS,Nestlé India Limited,neutral,nifty50
DIVISLAB.NS,Divi's Laboratories Limited,neutral,nifty50
JSWSTEEL.NS,JSW Steel Limited,neutral,nifty50
ULTRACEMCO.NS,UltraTech Cement Limited,down,nifty50
HEROMOTOCO.NS,Hero MotoCorp Limited,down,nifty50
ASIANPAINT.NS,Asian Paints Limited,neutral,nifty50
GRASIM.NS,Grasim Industries Limited,neutral,nifty50
DRREDDY.NS,Dr. Reddy's Laboratories Limited,neutral,nifty50
COALINDIA.NS,Coal India Limited,neutral,nifty50
WIPRO.NS,Wipro Limited,down,nifty50
TECHM.NS,Tech Mahindra Limited,neutral,nifty50
CIPLA.NS,Cipla Limited,neutral,nifty50
ADANIENT.NS,Adani Enterprises Limited,neutral,nifty50
EICHERMOT.NS,Eicher Motors Limited,neutral,nifty50
BPCL.NS,Bharat Petroleum Corporation Limited,down,nifty50
HINDALCO.NS,Hindalco Industries Limited,neutral,nifty50
INDUSINDBK.NS,IndusInd Bank Limited,neutral,nifty50
M&M.NS,Mahindra & Mahindra Limited,down,nifty50
SBILIFE.NS,SBI Life Insurance Company Limited,down,nifty50
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited,down,nifty50
TATASTEEL.NS,Tata Steel Limited,neutral,nifty50
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,neutral,nifty50
GODREJCP.NS,Godrej Consumer Products Limited,down,nifty50
BAJAJFINSV.NS,Bajaj Finserv Ltd.,down,nifty50
